input,output
I was about to go to work.,ကျွန်တော် အလုပ် သွားတော့မလို့ပါ။
I was about to go to bed.,ကျွန်တော် အိပ်ယာ ဝင်တော့မလို့ပါ။
I was about to say the same thing.,ကျွန်တော်လည်း အတူတူပဲ ပြောတော့မလို့ပါ။
I was about to call you.,ကျွန်တော် ခင်ဗျားကို ဖုန်းခေါ်တော့မလို့ပါ။
I was about to send you an email.,ကျွန်တော် ခင်ဗျားကို email ပို့တော့မလို့ပါ။
I was about to order us some drinks.,ကျွန်တော်တို့အတွက် သောက်စရာ တစ်ခုခု မှာတော့မလို့ပါ။
I didn't mean to hurt your feelings.,ခင်ဗျားရဲ့ ခံစားချက်ကို နာကျင်စေဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I didn't mean to break your heart.,ခင်ဗျားရဲ့ အသဲကို ခွဲဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I didn't mean to call you so late.,ခင်ဗျားကို နောက်ကျပြီးမှာ ဖုန်းခေါ်ဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I didn't mean to lie about what happened.,ဘာဖြစ်ခဲ့တယ်ဆိုတာနဲ့ ပါတ်သတ်ပြီး လိမ်လည်ဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I didn't mean to embrassass you.,ခင်ဗျားကို အရှက် ရစေဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I did not mean to stay out so late.,အလွန် နောက်ကျပြီး အပြင်မှာနေဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I did not mean to say those things.,အဲ့ဒီ အကြောင်းကို ပြောဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I did not mean to leave you out.,ခင်ဗျားကို အပြင်မှာ ချန်ထားခဲ့ဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I did not mean to make you confused.,ခင်ဗျားကို စိတ်ရှုပ်ထွေးအောင် လုပ်ဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I did not mean to cause trouble.,ခင်ဗျားကို ဒုက္ခ ရောက်စေဖို့ ကျွန်တော် မရည်ရွယ်ခဲ့ပါဘူး။
I promise not to tell the secret.,လျှို့ဝှက်ချက်ကို ထုတ်မပြောဘူးလို့ ကျွန်တော် ကတိပေးပါတယ်။
I promise not to leave without you.,ခင်ဗျား မပါဘဲ ထွက်မသွားဘူးလို့ ကျွန်တော် ကတိပေးပါတယ်။
I promise not to hurt your feelings.,ခင်ဗျားရဲ့ ခံစားချက်တွေကို နာကျင်အောင် မလုပ်ဘူးဖို့ ကျွန်တော် ကတိပေးပါတယ်။
I promise not to wake you up.,ခင်ဗျားကို အိပ်ယာက နိုးအောင် မလုပ်ဘူးလို့ ကျွန်တော် ကတိပေးပါတယ်။
I promise not to be so late.,အရမ်း နောက်မကျပါဘူးလို့ ကျွန်တော် ကတိပေးပါတယ်။
I promise I am telling the truth.,အမှန်ကို ပြောနေတယ်လို့ ကျွန်တော် ကတိပြုပါတယ်။
I promise to parctice my math.,သင်္ချာတွေ လေ့ကျင့်ပါ့မယ်လို့ ကျွန်တော် ကတိပြုပါတယ်။
I promise to call you.,ခင်ဗျားကို ဖုန်းခေါ်ပါ့မယ်လို့ ကျွန်တော် ကတိပေးပါတယ်။
I promise I will tell you about my past.,ကျွန်တော်ရဲ့ အတိတ်နဲ့ ပါတ်သတ်ပြီး အမှန်ကို ပြောပါ့မယ်လို့ ကတိပြုပါတယ်။
I promise I will com to your party.,ခင်ဗျားရဲ့ ပါတီကို လာပါ့မယ်လို့ ကတိပေးပါတယ်။
I'm not used to having so much stress.,ကျွန်တော် ဖိစီးမှုတွေ များနေတာတွေနဲ့ အကျွမ်းတဝင် မရှိပါဘူး။
I'm not used to traveling so much.,ကျွန်တော် အလွန်အမင် ခရီးသွားတဲ့ အကျင့် မရှိပါဘူး။
I am not used to working so early.,ကျွန်တော် အရမ်း စောစောကြီး အလုပ် လုပ်တဲ့ အကျင့် မရှိပါဘူး။
I am not used to talking English.,ကျွန်တော် အင်္ဂလိပ်စာ ပြောဆိုတဲ့ အကျင့် မရှိခဲ့ပါဘူး။
I'm used to smoking.,ကျွန်တော် ဆေးလိပ် သောက်တဲ့ အကျင့် ရှိခဲ့ပါတယ်။
I am used to travelling so much.,ကျွန်တော် ခရီးတွေ အရမ်း သွားတတ်တဲ့ အကျင့် ရှိခဲ့ပါတယ်။
Are you used to smoking?,ခင်ဗျား ဆေးလိပ် သောက်တဲ့ အကျင့် ရှိလား။
Are you used to talking in front of groups of people.,ခင်ဗျား လူအုပ်စုတွေ ရှေ့မှာ စကားပြောတဲ့ အကျင့် ရှိပါသလား။
I used to wrok hard.,ကျွန်တော် အလုပ်ကို ကြိုးစားလုပ်တဲ့ အကျင့် ရှိခဲ့ပါတယ်။
I used to love her.,ကျွန်တော် သူမကို ချစ်ခဲ့ပါတယ်။
I got a degree of Mathematics form Mandalay University.,ကျွန်တော် မန္တလေး တက္ကသိုလ်ကနေပြီး သင်္ချာဘွဲ့ ရှိခဲ့ပါတယ်။
Did you used to smoke?,ခင်ဗျား အရင်က ဆေးလိပ် သောက်တဲ့ အကျင့် ရှိခဲ့ပါသလား။
I did not used to trive a big car.,ကျွန်တော် ကား အကြီးတွေကို မောင်းတဲ့ အကျင့် မရှိခဲ့ပါဘူး။
I used not to have breakfast.,ကျွန်တော် မနက်စာ မစားတဲ့ အကျင့် ရှိခဲ့တယ်။
You will soon get used to living in the country.,ခင်ဗျား မကြာခင်မှာ ကျေးလက်တောရွာမှာ နေထိုင်ရတာနဲ့ အသားကျသွားပါလိမ့်မယ်။
Little by little he become used to his new office.,တဖြေးဖြေးချင်း သူ့ရုံးခန်း အသစ်နဲ့ ကျင့်သားရလာခဲ့ပါပြီ။
It took a long time to grow used to getting up early in the morning.,မနက် စောစော အိပ်ယာ ထတဲ့ အလေ့အကျင့် ရဖို့ အချိန် အကြာကြီး ယူပြီး ပြုစုပျိုးထောင်ခဲ့ရတယ်။
I'd rather go home than stay out too late.,ကျွန်တော် အပြင်မှာ နောက်ကျအောင် နေတာထက် အိမ်ကို ပြန်တာ ပိုလုပ်ချင်ပါတယ်။
I had rather stay late than come in early tomorrorw.,ကျွန်တော် မနက်ဖြန် မနက် အစောကြီး လာတာထက် နောက်ကျအောင် နေတာကို ပိုကြိုက်ပါတယ်။
I would rather exercise than sit on the couch all day.,ကျွန်တော် ထိုင်ခုံမှာ တစ်နေ့လုံး ထိုင်ရတာထက် လေ့ကျင့်ခန်း ပိုလုပ်ချင်ပါတယ်။
I had rather listen to my parents or get in trouble.,ကျွန်တော်က ပြဿနာ ရှာရတာထက် မိဘ စကားကို နားထောင်ရတာ ပိုကြိုက်ပါတယ်။
Would you like some tea or would you rather stick to Ma Ma?,မင်းက လက်ဖက်ရည် သောက်မှာလား၊ ဒါမှမဟုတ် မမ အနားမှာ ပိုပြီး ကပ်နေချင်တာလား။
I'd rather be with you.,ကို မင်းနဲ့ အတူ နေရတာကို ပိုကြိုက်ပါတယ်။
I'd rather talk about this later.,ကျွန်တော် ဒါနဲ့ ပတ်သတ်လို့ နောက်မှ ပိုပြောချင်ပါတယ်။
I would rather know the answer.,ကျွန်တော်က အဖြေကို ပိုပြီး သိပါလိမ့်မယ်။
I had rather handle the problem myself.,ကျွန်တော်က ပြဿနာကို ကိုယ်တိုင် ပိုပြီး ဖြေရှင်းချင်ပါတယ်။
Would you rather have tea?,ခင်ဗျား လက်ဘက်ရည်ကို အတော်လေး သောက်ပါသလား။
I feel like talking.,ကျွန်တော် စကား ပြောချင်ပါတယ်။
I feel like dancing.,ကျွန်တော် ကချင်တယ်။
I feel like going to the beach.,ကျွန်တော် ကမ်းခြေကို သွားချင်တယ်။
I feel like going for a walk.,ကျွန်တော် လမ်းလျှောက် ထွက်ချင်တယ်။
I feel like having a snack.,ကျွန်တော် မုန့် စားချင်တယ်။
I feel like watching TV.,ကျွန်တော် TV ကြည့်ချင်တယ်။
I feel like having friends on Facebook.,ကျွန်တော် Facebook မှာ သူငယ်ချင်းတွေ ရချင်တယ်။
I don't feel like leaving.,ကျွန်တော် ထွက်မသွားချင်ဘူး။
I do not feel like explaining.,ကျွန်တော် မရှင်းပြချင်ဘူး။
I don't feel comfortable talking about it.,အဲ့ဒါနဲ့ ပါတ်သက်ပြီး ပြောရတာ စိတ် သက်သက်သာသာ မဖြစ်ဘူး။
I do not feel like we are going in the right direction towards democracy.,ကျွန်တော် ဒီမိုကရေစီကို မှန်ကန်တဲ့ လမ်းကြောင်းမှာ သွားနေတယ်လို့ မခံစားရဘူး။
I feel like being an artist.,ကျွန်တော် အနုပညာရှင် တစ်ယောက် ဖြစ်ချင်တယ်။
I want to be a business man.,ကျွန်တော် စီးပွားရေးသမား တစ်ယောက် ဖြစ်ချင်တယ်။
I can't help thinking about you.,ကျွန်တော် ခင်ဗျား အကြောင်း မတွေးဘဲ မနေနိုင်ဘူး။
I cannot help working all the time.,ကျွန်တော် တချိန်လုံး အလုပ် မလုပ်ဘဲ မနေနိုင်ဘူး။
I can't help smiling when I see her.,ကျွန်တော် သူမကို မြင်တဲ့အချိန်မှာ မပြုံးဘဲ မနေနိုင်ဘူး။
I cannot help eating so much.,ကျွန်တော် အများကြီး မစားဘဲ မနေနိုင်ဘူး။
I can't help loving you.,ကျွန်တော် ခင်ဗျားကို မချစ်ဘဲ မနေနိုင်ဘူး။
I cannot help biting my nails when I am nervous.,ကျွန်တော် စိတ် ရှုပ်ရှားနေတဲ့အချိန်မှာ လက်သဲတွေကို မကိုင်ဘဲ မနေနိုင်ဘူး။
I can't help remembering the things you did.,ကျွန်တော် ခင်ဗျား လုပ်ခဲ့တဲ့ အရာကို သတိမရဘဲ မနေနိုင်ဘူး။
I cannot help smoking when I have been drinking.,ကျွန်တော် အရက် သောက်တဲ့အချိန်မှာ ဆေးလိပ် မသောက်ဘဲ မနေနိုင်ဘူး။
