input,output
Virulence factor ဆိုတာ ဘာလဲ, ရောဂါဖြစ်စေတဲ့ ပိုးမွှားတွေရဲ့ virulence factor ဆိုတာ သူတို့ကို ပိုပြီး အန္တရာယ်ရှိစေတဲ့ အရာတွေပါ။ ဒါတွေက ပိုးမွှားတွေကို host ထဲမှာ ပိုပြီး အသက်ရှင်နိုင်စေပြီး ပွားများစေပါတယ်။ Virulence factor တွေထဲမှာ toxin တွေ၊ adhesin တွေ၊ နဲ့ host ရဲ့ immune system ကို ရှောင်ရှားနိုင်စေတဲ့ အရာတွေ ပါဝင်ပါတယ်။ ဒါတွေက ရောဂါပိုးတွေကို ပိုပြီး အန္တရာယ်ရှိစေပြီး ကုသရ ခက်ခဲစေပါတယ်။ Virulence factor တွေကို နားလည်ခြင်းဟာ ဆေးဝါးနဲ့ ကာကွယ်ဆေးတွေ ဖွံ့ဖြိုးရေးအတွက် အရေးကြီးပါတယ်။
Gram staining ဆိုတာ ဘာလဲ?,Gram staining သည် ဘက်တီးရီးယားများကို ၎င်းတို့၏ ဆဲလ်နံရံ ဖွဲ့စည်းပုံပေါ် မူတည်၍ Gram-positive နှင့် Gram-negative ဟူ၍ ခွဲခြားသည့် နည်းလမ်းဖြစ်သည်။ Gram-positive ဘက်တီးရီးယားများသည် ခရမ်းရောင်၊ Gram-negative များသည် ပန်းရောင်ဖြစ်လာသည်။
Facultative anaerobe ဆိုသည်မှာ အဘယ်နည်း?,Facultative anaerobe များသည် အောက်စီဂျင်ရှိသည့် အခြေအနေနှင့် မရှိသည့် အခြေအနေ နှစ်မျိုးစလုံးတွင် ကြီးထွားနိုင်သော ဘက်တီးရီးယားများ ဖြစ်သည်။ ၎င်းတို့သည် အောက်စီဂျင်ရှိပါက aerobic respiration ကို အသုံးပြုပြီး၊ မရှိပါက fermentation သို့ ပြောင်းလဲနိုင်သည်။
Peptidoglycan ၏ အခန်းကဏ္ဍကို ရှင်းပြပါ။,Peptidoglycan သည် ဘက်တီးရီးယားဆဲလ်နံရံ၏ အဓိက အစိတ်အပိုင်း ဖြစ်သည်။ ၎င်းသည် ဆဲလ်ပုံသဏ္ဍာန်ကို ထိန်းသိမ်းပေးပြီး၊ osmotic pressure ကို ခံနိုင်ရည်ရှိစေသည်။ Gram-positive ဘက်တီးရီးယားများတွင် peptidoglycan လွှာ ပိုထူသည်။
Plasmid ဆိုတာ ဘာလဲ?,Plasmid သည် ဘက်တီးရီးယားဆဲလ်အတွင်းရှိ ပင်မ chromosomal DNA မှ သီးခြားဖြစ်သော သေးငယ်သည့် circular DNA molecule ဖြစ်သည်။ ၎င်းသည် antibiotic resistance genes များ၊ virulence factors များကို သယ်ဆောင်နိုင်ပြီး၊ ဘက်တီးရီးယားအချင်းချင်းကြား ကူးပြောင်းနိုင်သည်။
Flagella တို့၏ လုပ်ဆောင်ချက်ကို ဖော်ပြပါ။,Flagella သည် ဘက်တီးရီးယားများ၏ ရွေ့လျားမှု အတွက် အသုံးပြုသော ဆဲလ် ပြင်ပသို့ ထွက်နေသည့် ကြိုးသဖွယ် အတက်များ ဖြစ်သည်။ ၎င်းတို့သည် ဘက်တီးရီးယားအား ရေ၊ အာဟာရ သို့မဟုတ် host ဆဲလ်များဆီသို့ ရွှေ့လျားစေနိုင်သည်။
Endospore ဆိုသည်မှာ အဘယ်နည်း?,Endospore သည် အချို့သော ဘက်တီးရီးယားများ (ဥပမာ - Bacillus နှင့် Clostridium genera) က အခြေအနေပေါ်မူတည်ကာ ယာယီပြောင်းလဲနေသည့် ပုံစံ ဖြစ်သည်။ ၎င်းသည် အပူ၊ ဓာတုပစ္စည်းများနှင့် radiation စသည့် ပတ်ဝန်းကျင်ဖိအားများကို ခံနိုင်ရည်ရှိစေသည်။
Binary fission ကို ရှင်းပြပါ။,Binary fission သည် ဘက်တီးရီးယားများ မျိုးပွားသည့် အဓိက နည်းလမ်း ဖြစ်သည်။ ဤဖြစ်စဉ်တွင် မိခင်ဆဲလ်သည် နှစ်ပိုင်း ကွဲထွက်ကာ မျိုးရိုးဗီဇ တူညီသော သမီးဆဲလ်နှစ်ခု ဖြစ်ပေါ်လာသည်။
Pilus (fimbria) တို့၏ အခန်းကဏ္ဍကို ဖော်ပြပါ။,Pili (သို့) fimbriae သည် ဘက်တီးရီးယား မျက်နှာပြင်ပေါ်ရှိ ပိုမို တိုတောင်းသော ဆံမျှင်သဖွယ် တွယ်တက်များဖြစ်သည်။ ၎င်းတို့သည် မျက်နှာပြင်များတွင် တွယ်ကပ်ရန်၊ biofilm ဖွဲ့စည်းရန်နှင့် bacterial conjugation အတွက် အသုံးဝင်သည်။
Lipopolysaccharide (LPS) ၏ အရေးပါပုံကို ဆွေးနွေးပါ။,Lipopolysaccharide (LPS) သည် Gram-negative ဘက်တီးရီးယားများ၏ ပြင်ပအလွှာတွင် တွေ့ရသော မော်လီကျူး ဖြစ်သည်။ ၎င်းသည် endotoxin အဖြစ် ဆောင်ရွက်ပြီး၊ ပြင်းထန်သော ကိုယ်ခံအားတုံ့ပြန်မှုကို ဖြစ်ပေါ်စေနိုင်သည်။ LPS သည် ဘက်တီးရီးယား၏ structural integrity ကိုလည်း ထိန်းသိမ်းပေးသည်။
Capsule ၏ လုပ်ဆောင်ချက်ကို ရှင်းပြပါ။,Capsule သည် အချို့သော ဘက်တီးရီးယားများ၏ ဆဲလ်နံရံ ပြင်ပတွင် တွေ့ရသော polysaccharide သို့မဟုတ် protein လွှာဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယားအား dehydration မှ ကာကွယ်ပေးပြီး၊ host ၏ immune system မှ phagocytosis ကို ခံရခြင်းမှ ကာကွယ်ပေးသည်။
Quorum sensing ဆိုတာ ဘာလဲ?,Quorum sensing သည် ဘက်တီးရီးယားများက ၎င်းတို့၏ population density ကို စောင့်ကြည့်ရန်နှင့် တုံ့ပြန်ရန် အသုံးပြုသော ဆက်သွယ်ရေး စနစ် ဖြစ်သည်။ ၎င်းသည် chemical signaling molecules များမှတစ်ဆင့် လုပ်ဆောင်ပြီး၊ biofilm formation၊ virulence factor production စသည့် collective behaviors များကို ထိန်းညှိပေးသည်။
Bacterial conjugation ကို ရှင်းပြပါ။,Bacterial conjugation သည် ဘက်တီးရီးယား နှစ်ခုကြား တိုက်ရိုက် ထိတွေ့မှု မှတစ်ဆင့် genetic material လွှဲပြောင်းသည့် ဖြစ်စဉ်ဖြစ်သည်။ Donor ဆဲလ်မှ recipient ဆဲလ်သို့ plasmid သို့မဟုတ် အခြား DNA fragment များ ကူးပြောင်းခြင်းဖြစ်သည်။
Bacterial biofilm ဆိုသည်မှာ အဘယ်နည်း?,Bacterial biofilm သည် မျက်နှာပြင် တစ်ခု ပေါ်တွင် ကပ်နေသော ဘက်တီးရီးယား အစုအဝေး ဖြစ်ပြီး၊ extracellular polymeric substance (EPS) matrix ဖြင့် ဝန်းရံထားသည်။ Biofilm သည် ဘက်တီးရီးယားများအား antibiotics နှင့် host immune defenses များမှ ကာကွယ်ပေးနိုင်သည်။
Mesophile ဆိုတာ ဘာလဲ?,Mesophile သည် အပူချိန် 20-45°C (68-113°F) အကြားတွင် အကောင်းဆုံး ကြီးထွားနိုင်သော ဘက်တီးရီးယား ဖြစ်သည်။ လူသားများတွင် ရောဂါဖြစ်ပေါ်စေသော ဘက်တီးရီးယား အများစုသည် mesophiles များဖြစ်သည်။
Obligate aerobe နှင့် obligate anaerobe တို့၏ ကွာခြားချက်ကို ဖော်ပြပါ။,Obligate aerobe များသည် အောက်စီဂျင် ရှိမှသာ အသက်ရှင်နိုင်ပြီး၊ aerobic respiration ကိုသာ အသုံးပြုသည်။ Obligate anaerobe များမှာ အောက်စီဂျင် ရှိနေပါက သေဆုံးနိုင်ပြီး၊ fermentation သို့မဟုတ် anaerobic respiration ကိုသာ အသုံးပြုသည်။
Bacteriophage ဆိုသည်မှာ အဘယ်နည်း?,Bacteriophage သည် ဘက်တီးရီးယားများကိုသာ ကူးစက်သော ဗိုင်းရပ်စ် အမျိုးအစား ဖြစ်သည်။ ၎င်းတို့သည် ဘက်တီးရီးယား ဆဲလ် အတွင်း ပွားများပြီး ဘက်တီးရီးယားကို ဖျက်ဆီးနိုင်သည်။ Bacteriophage များကို ဘက်တီးရီးယားရောဂါများ ကုသရန် အလားအလာရှိသော နည်းလမ်းတစ်ခုအဖြစ် လေ့လာနေကြသည်။
Bacterial transduction ကို ရှင်းပြပါ။,Bacterial transduction သည် bacteriophage မှတစ်ဆင့် ဘက်တီးရီးယား တစ်ခုမှ အခြား တစ်ခုသို့ DNA ကူးပြောင်းသည့် ဖြစ်စဉ် ဖြစ်သည်။ Phage က donor ဘက်တီးရီးယားမှ DNA အပိုင်းအစကို recipient ဘက်တီးရီးယားသို့ သယ်ဆောင်ပေးသည်။
Chemotaxis ဆိုတာ ဘာလဲ?,Chemotaxis သည် ဓာတုပစ္စည်းများကို တုံ့ပြန်၍ ဘက်တီးရီးယားများ ရွေ့လျားသည့် ဖြစ်စဉ် ဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယားများအား အာဟာရများဆီသို့ ရွေ့လျားစေပြီး အန္တရာယ်ရှိသော ပစ္စည်းများမှ ရှောင်ရှားစေသည်။
Bacterial transformation ကို ဖော်ပြပါ။,Bacterial transformation သည် ပတ်ဝန်းကျင်မှ free DNA ကို ဘက်တီးရီးယား ဆဲလ်က စုပ်ယူပြီး ၎င်း၏ genome ထဲသို့ ထည့်သွင်းသည့် ဖြစ်စဉ် ဖြစ်သည်။
Culture medium ဆိုတာ ဘာလဲ ရှင်းပြပါ,Culture medium သည် အဏုဇီဝသက်ရှိများကို စမ်းသပ်ခန်းတွင် မွေးမြူရန် အသုံးပြုသော အာဟာရဓာတ် ပါဝင်သည့် ပစ္စည်း ဖြစ်သည်။ ၎င်းတွင် ဘက်တီးရီးယား၊ မှို၊ နှင့် အခြား microorganisms များ ကြီးထွားရန် လိုအပ်သော ဓာတ်ပစ္စည်းများ ပါဝင်သည်။
Culture medium အမျိုးအစားများကို ဖော်ပြပါ,Culture medium များကို အဓိကအားဖြင့် solid၊ semi-solid နှင့် liquid (broth) ဟူ၍ ခွဲခြားနိုင်သည်။ Solid medium တွင် agar ပါဝင်ပြီး၊ semi-solid တွင် agar အနည်းငယ်သာ ပါဝင်သည်။ Liquid medium တွင် agar မပါဝင်ပါ။
Defined medium နှင့် Complex medium ကွာခြားချက်ကို ရှင်းပြပါ,"Defined medium တွင် ပါဝင်သော ဓာတုပစ္စည်းများကို တိကျစွာ သိရှိထားပြီး၊ ပမာဏကိုလည်း သတ်မှတ်ထားသည်။ Complex medium တွင်မူ ""အသား"" စသည့် သဘာဝ ထွက်ကုန်များမှ ရရှိသော ဓာတ်ပစ္စည်းများ ပါဝင်သောကြောင့် တိကျသော ပါဝင်ပစ္စည်းများကို မသိရှိနိုင်ပါ။"
Selective medium ဆိုတာ ဘာလဲ ရှင်းပြပါ,Selective medium သည် သီးခြား microorganism တစ်မျိုး သို့မဟုတ် အုပ်စု တစ်စု၏ ကြီးထွားမှုကိုသာ ခွင့်ပြုပေးသော culture medium ဖြစ်သည်။ ၎င်းတွင် antibiotics သို့မဟုတ် အခြား ဓာတုပစ္စည်းများ ပါဝင်ပြီး၊ မလိုလားအပ်သော သက်ရှိများ၏ ကြီးထွားမှုကို တားဆီးပေးသည်။
Differential medium ၏ အသုံးဝင်ပုံကို ဖော်ပြပါ,Differential medium သည် microorganism အမျိုးအစားအလိုက် ကွဲပြားသော ပုံသဏ္ဍာန် သို့မဟုတ် အရောင်ဖြင့် ဖော်ပြပေးသော culture medium ဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယား အမျိုးအစားများကို လျင်မြန်စွာ ခွဲခြားသတ်မှတ်ရာတွင် အထူးအသုံးဝင်သည်။
Enrichment medium ဆိုတာ ဘာလဲ ရှင်းပြပါ,Enrichment medium သည် နမူနာတစ်ခုအတွင်းရှိ ရှားပါးသော microorganism များ၏ အရေအတွက်ကို တိုးမြှင့်ပေးသော culture medium ဖြစ်သည်။ ၎င်းသည် ရှာဖွေလိုသော microorganism များအတွက် အထူး သင့်လျော်သော ပတ်ဝန်းကျင်ကို ဖန်တီးပေးသည်။
Nutrient agar ၏ ပါဝင် ပစ္စည်းများကို ဖော်ပြပါ,Nutrient agar တွင် အဓိကအားဖြင့် ပါဝင်သော ပစ္စည်းများမှာ - (၁) Peptone၊ (၂) Beef extract သို့မဟုတ် Yeast extract၊ (၃) Sodium chloride၊ (၄) Agar၊ နှင့် (၅) ရေ တို့ဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယား အများစုအတွက် လိုအပ်သော အာဟာရဓာတ်များ ပေးစွမ်းနိုင်သည်။
Blood agar ၏ အသုံးဝင်ပုံကို ရှင်းပြပါ,Blood agar သည် ရောဂါဖြစ်ပွားစေနိုင်သော ဘက်တီးရီးယားများကို မွေးမြူရန် နှင့် hemolysis pattern များကို လေ့လာရန် အသုံးပြုသည်။ ၎င်းသည် alpha-hemolysis၊ beta-hemolysis နှင့် gamma-hemolysis တို့ကို ခွဲခြား သတ်မှတ်ရန် အထောက်အကူ ဖြစ်စေသည်။
MacConkey agar ကို မည်သည့် ရည်ရွယ်ချက်ဖြင့် အသုံးပြုသနည်း,MacConkey agar ကို Gram-negative ဘက်တီးရီးယားများကို ခွဲခြား သတ်မှတ်ရန် အသုံးပြုသည်။ ၎င်းသည် lactose-fermenting နှင့် non-lactose-fermenting ဘက်တီးရီးယားများကို ခွဲခြားပေးပြီး၊ အထူးသဖြင့် Enterobacteriaceae မိသားစုဝင် ဘက်တီးရီးယားများကို စစ်ဆေးရာတွင် အသုံးဝင်သည်။
Minimal medium ဆိုတာ ဘာလဲ ရှင်းပြပါ,Minimal medium သည် microorganism တစ်မျိုး ကြီးထွားရန် လိုအပ်သော အနည်းဆုံး အာဟာရဓာတ်များသာ ပါဝင်သော culture medium ဖြစ်သည်။ ၎င်းတွင် ကာဗွန်ရင်းမြစ်၊ နိုက်ထရိုဂျင် ရင်းမြစ်၊ နှင့် လိုအပ်သော သတ္တုဓာတ်များသာ ပါဝင်သည်။ ဤ medium ကို metabolic studies များတွင် အသုံးများသည်။
Thioglycollate medium ၏ အသုံးဝင်ပုံကို ရှင်းပြပါ,Thioglycollate medium သည် aerobic၊ microaerophilic နှင့် anaerobic ဘက်တီးရီးယားများကို တစ်ပြိုင်နက် မွေးမြူရန် အသုံးပြုသည်။ ၎င်းသည် oxygen gradient ကို ဖန်တီးပေးပြီး၊ ဘက်တီးရီးယားများ၏ oxygen လိုအပ်ချက်ကို လေ့လာရာတွင် အထောက်အကူ ဖြစ်စေသည်။
Lowenstein-Jensen medium ကို မည်သည့် ရည်ရွယ်ချက်ဖြင့် အသုံးပြုသနည်း,Lowenstein-Jensen medium ကို Mycobacterium tuberculosis နှင့် အခြား mycobacteria များကို မွေးမြူရန် အသုံးပြုသည်။ ၎င်းသည် ကြက်ဥ၊ glycerol နှင့် အခြား nutrients များ ပါဝင်ပြီး၊ တီဘီရောဂါ ရှာဖွေရေးတွင် အရေးပါသော အခန်းကဏ္ဍမှ ပါဝင်သည်။
Chocolate agar ဆိုတာ ဘာလဲ ရှင်းပြပါ,Chocolate agar သည် blood agar ကို အပူပေးထားသော ပုံစံ ဖြစ်သည်။ အပူပေးခြင်းကြောင့် သွေးနီဥများ ပေါက်ကွဲပြီး၊ hemoglobin နှင့် အခြား growth factors များ ထွက်လာသည်။ ၎င်းသည် Haemophilus influenzae နှင့် Neisseria ကဲ့သို့သော fastidious ဘက်တီးရီးယားများ မွေးမြူရန် အသုံးဝင်သည်။
Sabouraud Dextrose Agar (SDA) ၏ အသုံးဝင်ပုံကို ရှင်းပြပါ,Sabouraud Dextrose Agar (SDA) သည် မှိုများ နှင့် yeast များကို မွေးမြူရန် အသုံးပြုသော culture medium ဖြစ်သည်။ ၎င်း၏ pH သည် အနည်းငယ် အက်ဆစ်ဓာတ် ရှိပြီး၊ ဘက်တီးရီးယားများ၏ ကြီးထွားမှုကို ကန့်သတ်ပေးသည်။ SDA သည် ရောဂါဖြစ်ပွားစေနိုင်သော မှိုများကို ရှာဖွေရာတွင် အရေးပါသည်။
